Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits,MoneyMarketFlag
12/17/2019,TBD,Cash&Other,Cash&Other,Cash & Other,292305,1,292305,3.84%,7610910,300000,6,Y
12/17/2019,TBD,626738AD0,626738AD0,MURPHY OIL USA INC  5.625% 05/01/2027,245000,108,264600,3.48%,7610910,300000,6,
12/17/2019,TBD,12572QAF2,12572QAF2,CME GROUP INC  5.3% 09/15/2043,205000,125.203129,256666.41,3.37%,7610910,300000,6,
12/17/2019,TBD,171232AS0,171232AS0,CHUBB CORP  6.5% 05/15/2038,175000,138.888312,243054.55,3.19%,7610910,300000,6,
12/17/2019,TBD,17275RAF9,17275RAF9,CISCO SYS INC  5.5% 01/15/2040,190000,125.919624,239247.29,3.14%,7610910,300000,6,
12/17/2019,TBD,466313AG8,466313AG8,JABIL INC  4.7% 09/15/2022,220000,107.125,235675,3.10%,7610910,300000,6,
12/17/2019,TBD,BP,55622104,BP PLC,5824,38.26,222826.24,2.93%,7610910,300000,6,
12/17/2019,TBD,478160AL8,478160AL8,JOHNSON & JOHNSON  4.95% 05/15/2033,175000,119.86436,209762.63,2.76%,7610910,300000,6,
12/17/2019,TBD,49456BAH4,49456BAH4,KINDER MORGAN INC DEL  5.55% 06/01/2045,190000,108.254881,205684.27,2.70%,7610910,300000,6,
12/17/2019,TBD,46625HJJ0,46625HJJ0,JPMORGAN CHASE & CO  3.375% 05/01/2023,195000,102.362809,199607.48,2.62%,7610910,300000,6,
12/17/2019,TBD,478160AJ3,478160AJ3,JOHNSON & JOHNSON  6.95% 09/01/2029,145000,137.541935,199435.81,2.62%,7610910,300000,6,
12/17/2019,TBD,94974BFN5,94974BFN5,WELLS FARGO CO MTN BE  4.125% 08/15/2023,185000,105.906479,195926.99,2.57%,7610910,300000,6,
12/17/2019,TBD,84762LAQ8,84762LAQ8,SPECTRUM BRANDS INC  6.625% 11/15/2022,180000,104.375,187875,2.47%,7610910,300000,6,
12/17/2019,TBD,361582AD1,361582AD1,GEICO CORP  7.35% 07/15/2023,152000,122.271108,185852.08,2.44%,7610910,300000,6,
12/17/2019,TBD,904764AS6,904764AS6,UNILEVER CAP CORP  3.1% 07/30/2025,180000,101.00365,181806.57,2.39%,7610910,300000,6,
12/17/2019,TBD,30231GAF9,30231GAF9,EXXON MOBIL CORP  2.709% 03/06/2025,180000,100.368496,180663.29,2.37%,7610910,300000,6,
12/17/2019,TBD,45866FAA2,45866FAA2,INTERCONTINENTAL EXCHANGE INC SR NT 4% 23 4% 10/15/2023,165000,107.928,178081.2,2.34%,7610910,300000,6,
12/17/2019,TBD,670346AM7,670346AM7,NUCOR CORP  4% 08/01/2023,165000,106.091322,175050.68,2.30%,7610910,300000,6,
12/17/2019,TBD,30231GAC6,30231GAC6,EXXON MOBIL CORP  3.176% 03/15/2024,165000,103.716206,171131.74,2.25%,7610910,300000,6,
12/17/2019,TBD,74005PBN3,74005PBN3,PRAXAIR INC  2.65% 02/05/2025,175000,97.961419,171432.48,2.25%,7610910,300000,6,
12/17/2019,TBD,773903AE9,773903AE9,ROCKWELL AUTOMATION INC  6.25% 12/01/2037,132000,129.82642,171370.87,2.25%,7610910,300000,6,
12/17/2019,TBD,58013MES9,58013MES9,MCDONALDS CORP MED TERM NT BE FR 3.25% 061024 3.25% 06/10/2024,165000,103.189467,170262.62,2.24%,7610910,300000,6,
12/17/2019,TBD,31847RAE2,31847RAE2,FIRST AMERN FINL CORP  4.3% 02/01/2023,164000,103.210168,169264.68,2.22%,7610910,300000,6,
12/17/2019,TBD,931142DH3,931142DH3,WAL-MART STORES INC  2.55% 04/11/2023,160000,101.510113,162416.18,2.13%,7610910,300000,6,
12/17/2019,TBD,579780AK3,579780AK3,MCCORMICK & CO INC  3.25% 11/15/2025,158000,98.9847,156395.83,2.05%,7610910,300000,6,
12/17/2019,TBD,TLT,464287432,ISHARES TR 20 YR TR BD ETF,1254,123.59,154981.86,2.04%,7610910,300000,6,
12/17/2019,TBD,88732JAW8,88732JAW8,TIME WARNER CABLE INC  5% 02/01/2020,140000,105.524836,147734.77,1.94%,7610910,300000,6,
12/17/2019,TBD,58013MEM2,58013MEM2,MCDONALDS CORP MED TERM NT BE FR 2.625% 011522 2.625% 01/15/2022,145000,101.203834,146745.56,1.93%,7610910,300000,6,
12/17/2019,TBD,62944TAE5,62944TAE5,NVR INC  3.95% 09/15/2022,140000,104.818131,146745.38,1.93%,7610910,300000,6,
12/17/2019,TBD,631103AD0,631103AD0,NASDAQ INC  5.55% 01/15/2020,135000,107.316032,144876.64,1.90%,7610910,300000,6,
12/17/2019,TBD,911308AA2,911308AA2,UNITED PARCEL SVC AMER INC  8.375% 04/01/2020,115000,115.248237,132535.47,1.74%,7610910,300000,6,
12/17/2019,TBD,773903AF6,773903AF6,ROCKWELL AUTOMATION INC  2.05% 03/01/2020,130000,100.102569,130133.34,1.71%,7610910,300000,6,
12/17/2019,TBD,278265AD5,278265AD5,EATON VANCE CORP  3.625% 06/15/2023,124000,104.180073,129183.29,1.70%,7610910,300000,6,
12/17/2019,TBD,CVX,166764100,CHEVRON CORP NEW,1062,117.03,124285.86,1.63%,7610910,300000,6,
12/17/2019,TBD,166764AR1,166764AR1,CHEVRON CORP NEW  1.961% 03/03/2020,120000,100.354682,120425.62,1.58%,7610910,300000,6,
12/17/2019,TBD,XOM,30231G102,EXXON MOBIL CORP,1271,81.71,103853.41,1.36%,7610910,300000,6,
12/17/2019,TBD,VZ,92343V104,VERIZON COMMUNICATIONS INC,2093,48.81,102159.33,1.34%,7610910,300000,6,
12/17/2019,TBD,CXW,21871N101,CORECIVIC INC,3779,25.67,97006.93,1.27%,7610910,300000,6,
12/17/2019,TBD,SO,842587107,SOUTHERN CO,1931,49.59,95758.29,1.26%,7610910,300000,6,
12/17/2019,TBD,DUK,26441C204,DUKE ENERGY CORP NEW,1092,84.64,92426.88,1.21%,7610910,300000,6,
12/17/2019,TBD,084670BR8,084670BR8,BERKSHIRE HATHAWAY INC DEL  2.75% 03/15/2023,88000,101.614256,89420.55,1.17%,7610910,300000,6,
12/17/2019,TBD,38259PAB8,38259PAB8,GOOGLE INC  3.625% 05/19/2021,84000,105.534003,88648.56,1.16%,7610910,300000,6,
12/17/2019,TBD,PFE,717081103,PFIZER INC,2381,36.05,85835.05,1.13%,7610910,300000,6,
12/17/2019,TBD,PM,718172109,PHILIP MORRIS INTL INC,720,111.27,80114.4,1.05%,7610910,300000,6,
12/17/2019,TBD,CSCO,17275R102,CISCO SYS INC,2189,33.75,73878.75,0.97%,7610910,300000,6,
12/17/2019,TBD,GRMN,H2906T109,GARMIN LTD,1323,53.83,71217.09,0.94%,7610910,300000,6,
12/17/2019,TBD,278265AE3,278265AE3,EATON VANCE CORP  3.5% 04/06/2027,61000,101.470137,61896.78,0.81%,7610910,300000,6,
12/17/2019,TBD,MO,02209S103,ALTRIA GROUP INC,990,62.55,61924.5,0.81%,7610910,300000,6,
12/17/2019,TBD,IBM,459200101,INTERNATIONAL BUSINESS MACHS COM,408,146.48,59763.84,0.79%,7610910,300000,6,
12/17/2019,TBD,38259PAD4,38259PAD4,GOOGLE INC  3.375% 02/25/2024,41000,104.790061,42963.93,0.56%,7610910,300000,6,
